Catégorie	Auteur	Titre français normalisé	Autres titres français	Titre latin	Titre syriaque normalisé	Incipit syriaque	Identifiant dans une clavis	cote catalogue et notes personnelles
Hom.	Jacques de Saroug	Memra sur les défunts 				ܐܘ ܚܒ̈ܝܒܝ ܗܒܘ ܬܫܒܘܚܬܐ ܠܡܐܚܐ ܡ̈ܝܬܐ ܘܐܡܪܘ ܫܘܒܚܐ ܠܡܢܚܡܟܐ ܕܟܠ ܥܢܝ̈ܕܐ 	Brock 2006, 10	13, n° 28 ; cf. Bedjan VI , p. 373 + Damas12/15 (150)
Litur.	Jacques de Saroug	Memra sur les morts 				ܗܐ ܣܕܝܪܝܢ ܒܗ ܒܐܘܪܚܗ ܕܥܠܡܐ ܕܖ̈ܐ ܘܐܬܝܢ	Brock 2006, 136	122, 5/c
Litur.	Jacques de Saroug	Memra sur les morts (non identifié)						122, 5/d
Hom.	Jacques de Saroug	Memra sur l'expulsion d'Adam du Paradis						Firenze BML Or. 030 II (garshuni)
Hom.	Jacques de Saroug	Memra sur l'heure de la mort 				ܥܠ ܚܜܝܐ ܫܩܠܬ ܐܚܝ̈ ܠܡܡܠܠܘ ܕܐܝܟܢ ܕܐܢ ܡܪܝܐ ܠܥܒܕܗ ܐܢ ܠܐ ܬܐܒ	Brock 2006, 293	13, 23 et 16, 16
	Jacques de Saroug	Memra sur l'utilité de la messe pour les morts					Cf. GCAL I, p. 451.	193, 8 (karsh.)
Hom. 	Jacques de Saroug	Memra sur Šmuni 				ܐܒܐ ܓܢܝܙܐ ܕܣܗܕܐ ܕܝܠܗ ܕܒܪܗ ܗܢܘܢ	Brook 2006, 1	177, 4/n
Litur.	Jacques de Saroug	Prières 						145, 5
Litur. 	Jacques de Saroug	Rite de présentation des enfants à l'église						118, 1 ; 110, 1
Litur. 	Jacques de Saroug	Sogita						153
	Jacques de Saroug	Memra sur le bon Samaritain	Memra sur l'homme qui allait de Jérusalem à Jéricho			ܬܘ ܢܬܚܦܛ ܥܠ ܝܘܠܦܢܐ ܕܒܪ ܐܠܗܐ	Brock 2006, 369	196, 40
	Jacques de Saroug 	Bo'uto						Paris BnF syr. 377, 11
Hom. 	Jacques de Saroug 	Memra contre les juifs 				ܥܕܬ ܥܡ̈ܡܐ ܡܟܝܪܬܗ ܕܫܡܫܐ ܕܙܕܝܩܘܬܐ	Brock 2006, 285	196, 46
Hom. 	Jacques de Saroug 	Memra sur "Le royaume des cieux est pareil à un grain de sénevé"				ܦܬܚ ܠܝ ܣܦܘ̈ܬܝ ܐܙܡܪ ܠܟ ܒܪ ܐܠܗܐ	Brock 2006, 308.	196, 44
Hom. 	Jacques de Saroug 	Memra sur "Les renards ont leurs tanières…" 				ܡܪܝ ܠܟ ܚܝܒ ܟܠܗ ܥܠܡܐ ܠܡܫܒܚܘ 	Brock 2006, 250 	196, 42
Hom. 	Jacques de Saroug 	Memra sur Mt 12, 43 ("Quand l'esprit impur sort d'un homme")				ܒܪ ܐܠܗܐ ܕܐܢܗܪ ܕܢܚܗ ܠܐܪܥܐ ܟܠܗܿ	Brock 2006, 93.	196, 45
Hom. 	Jacques de Saroug 	Memra sur "Vade retro, Satana!" 				ܒܟܠܗܘܢ ܡܐܡܖ̈ܝ ܠܟ ܩܿܪܐ ܐܢܐ ܒܪܐ ܫܪܝܪܐ 	Brock 2006, 77	196, 39 
Hom. 	Jacques de Saroug 	Memra sur Abraham et ses types 				ܠܐܪܙܟ ܪܒܐ ܡܣܘܚ ܪܥܝܢܝ ܒܪ ܐܠܗܐ 	Brock 2006, 197 	196, 60
Hom. 	Jacques de Saroug 	Memra sur Azazel et le bouc émissaire 				 ܠܫܘܦܪܐ ܕܖ̈ܐܙܝܟ ܒܛܢܐ ܬܪܥܝܬܝ ܒܪ ܐܠܗܐ	Brock 2006, 212.	196, 63
Hom. 	Jacques de Saroug 	Memra sur Éphrem 				ܐܝܟܢ ܐܩܪܘܒ ܨܝܕ ܢܨܚܢܟ ܐܘ ܫܦܝܪܐ	Brock 2006, 24 	195, 1, j ; 196, 19 
Hom. 	Jacques de Saroug 	Memra sur Jean Baptiste 				ܝܫܘܥ ܢܘܗܪܐ ܕܠܟܠ ܣܘ̈ܦܝܢ ܕܢܚܗ ܐܦܨܚ	Brock 2006, 183	196, 11 = vérifier l'incipit 
Hom. 	Jacques de Saroug 	Memra sur Jonas et Ninive 						196, 14 = extrait : l'incipit ne correspond à rien dans le répertoire Brock 
Hom. 	Jacques de Saroug 	Memra sur la crucifixion 				ܬܗܪܐ ܪܒܐ ܣܥܪ ܒܙܩܝܦܗ ܒܪ ܐܠܗܐ	Brock 2006, 368.	196, 68
Hom. 	Jacques de Saroug 	Memra sur la décollation de Jean Baptiste 						196, 10 = voir l'incipit pour comparer avec répertoire Brock 
Hom. 	Jacques de Saroug 	Memra sur la descente de Jésus aux enfers 				ܨܡܚܐ ܕܢܗܪܘ ܥܘ̈ܡܩܐ ܕܫܝܘܠ ܡܢ ܙܠܝܩܘ̈ܗܝ	Brock 2006, 314.	196, 70
Hom. 	Jacques de Saroug 	Memra sur la femme cananéenne 				ܢܘܗܪܐ ܪܒܐ ܕܢܚ ܗܘܐ ܒܐܪܥܐ ܒܝܘ̈ܡܝ ܡܪܢ	Brock 2006, 269.	196, 34
Hom. 	Jacques de Saroug 	Memra sur la femme hémorrhoïsse  				ܐܣܝܐ ܪܒܐ ܕܐܬܐ ܕܢܚܠܡ ܠܡܡܚܝܐ̈ ܒܖ̈ܚܡܝܟ ܐܚܢܝ ܕܐܙܡܪ ܫܘܒܚܟ ܟܕ ܬܗܪ ܐܢܐ		196; 35
Hom. 	Jacques de Saroug 	Memra sur la femme pécheresse  						
Hom. 	Jacques de Saroug 	Memra sur la fin du monde 				 ܥܠܡܐ ܦܓܥ ܒܝ ܘܛܥܝܢ ܘ̈ܝܐ ܕܢܦܠܓ ܠܝ	Brock 2006, 229.	196, 88
Hom. 	Jacques de Saroug 	Memra sur la foi 				ܐܚ̈ܝ ܢܥܪܘܩ ܡܢ ܟܣܝ̈ܬܐ ܕܠܐ ܡܬܒܨ̈ܝܢ 	Brock 2006, 19 	196, 48
Hom. 	Jacques de Saroug 	Memra sur la foi 				ܥܦܪ ܫܝܛܐ ܥܠ ܓܒܘܠܗ ܒܨܬܐ ܫܡܪ	Brock 2006, 303	196, 49
Hom. 	Jacques de Saroug 	Memra sur la foi 				ܓܘܢܚܐ ܪܒܐ ܥܒܕܘ ܕܖ̈ܘܫܐ ܒܟܢܘܫ̈ܬܐ 	Brock 2006, 125	196, 50 
Hom. 	Jacques de Saroug 	Memra sur la génisse rouge 				ܠܝܡܐ ܕܖ̈ܐܙܝܟ ܗܐ ܩܪܒ ܐܢܐ ܠܡܬܬܓܪܘ	Brock 2006, 206.	196, 62
Hom. 	Jacques de Saroug 	Memra sur la gloire 				ܟܐܒܗܿ ܪܒܐ ܕܚܬܝܪܘܬܐ ܗܐ ܙܩܬ ܠܝ	Brock 2006, 184.	196, 25
Hom. 	Jacques de Saroug 	Memra sur la lutte de Notre-Seigneur avec Satan 				ܦܬܚ ܠܝ ܬܪܥܟ ܒܪ ܐܠܗܐ ܕܕܡܐ ܠܐܒܘܗܝ	Brock 2006, 310.	196, 51
Hom. 	Jacques de Saroug 	Memra sur la mort de la Vierge  				ܒܪܐ ܕܒܚܘܒܐ ܐܪܟܢ ܪܘܡܐ ܘܢܚܬ ܠܐܪܥܐ	Brock 2006, 109 ; BHO 676 ; CANT 125. 	196, 78 (titre dans le ms. : ܒܪܐ ܕܒܚܘܒܗ ܐܪܟܢ ܖ̈ܘܡܐ ... 377, 3
Hom. 	Jacques de Saroug 	Memra sur la nativité de Notre-Seigneur 				ܬܗܪܐ ܗܘ ܝܠܕܟ ܒܪ ܐܠܗܐ ܘܙܥܘܪ ܗܘ ܦܘܡܝ 	Brock 2006, 366.	196, 3 = vérifier l'incipit sur le mss.
Hom. 	Jacques de Saroug 	Memra sur la nativité de Notre-Seigneur 				ܬܗܪܐ ܪܒܐ ܣܥܪ ܐܠܗܐ ܒܝܠܕܐ ܕܒܪܗ	Brock 2006, 367.	196, 4 = vérifier l'incipit 
Hom. 	Jacques de Saroug 	Memra sur la parabole de la vigne 				ܒܢܘܗܪܐ ܕܡܠܬܟ ܐܬܐ ܠܘܬܟ ܒܪ ܐܠܗܐ	Brock 2006, 86.	196, 55
Hom. 	Jacques de Saroug 	Memra sur la parabole des ouvriers de la vigne 				ܐܦܬܚ ܣܦܘ̈ܬܝ ܠܡܡܠܠܘ ܒܚܘܒܐ ܫܪܒܟ	Brock 2006, 47. 	195, 1, i + 196, 36  = vérifier les incipit  
Hom. 	Jacques de Saroug 	Memra sur la parabole du roi qui fait un repas de noces à son fils 				ܥܘܬܪܐ ܪܒܐ ܡܢ ܩܪܝܢܐ ܕܐܠܗܘܬܐ	Brock 2006, 290.	196, 57
Hom. 	Jacques de Saroug 	Memra sur la parole de Moïse : "Dieu vous suscitera un prophète"				ܢܒܝܘܬܐ ܡܪܝ ܨܪܬ ܨܠܡܟ ܒܝܬ ܓܠܝ̈ܢܐ 	Brock 2006, 259	196, 59
Hom. 	Jacques de Saroug 	Memra sur la pénitence 				ܬܪܥܐ ܪܒܐ ܦܬܚ ܠܝ ܒܚܘܒܟ ܒܪ ܐܠܗܐ	Brock 2006, 380.	195, 1, d = vérifier l'incipit ; 196, 22
Hom. 	Jacques de Saroug 	Memra sur la pénitence et le repentir 				ܣܓܝ ܦܫܝܩܐ ܐܘܪܚܗܿ ܪܒܬܐ ܕܬܝܒܘܬܐ	Brock 2006, 278.	196, 23
Hom. 	Jacques de Saroug 	Memra sur la Pentecôte				ܦܬܚ ܠܝ ܡܪܢ ܬܪܥܗ ܕܓܙܟ ܚܒܝܒܐܝܬ 	Brock 2006, 307	196, 76
Hom. 	Jacques de Saroug 	Memra sur la présentation de Notre-Seigneur au temple et sur le vieux Siméon 				 ܩܫܝܫ ܡܢ ܟܠ ܕܗܘܐ ܥܘܠܐ 	Brock 2006, 326	196, 13 = vérifier l'incipit 
Hom. 	Jacques de Saroug 	Memra sur la prière de Notre-Seigneur 				ܒܪ ܐܠܗܐ ܕܡܢܗ ܥܬܪܝܢ ܟܠ ܡܠܠܐ̈	Brock 2006, 100.	195, 1, c = vérifier l'incipit ; 196, 53 (extrait)
Hom. 	Jacques de Saroug 	Memra sur la résurrection 					GCAL I, p. 448	196, 73 ; 233, 6  ; 193, ee
Hom. 	Jacques de Saroug 	Memra sur la Vierge 				 ܛܒܐ ܕܦܬܝܚ ܬܪܥܗ ܠܒܝܫܐ̈ ܘܠܚܛܝܐ̈	Brook 2006, 173	196, 5 = vérifier l'incipit  
Hom. 	Jacques de Saroug 	Memra sur l'âge de Notre-Seigneur 				ܒܪ ܐܠܗܐ ܕܢܚ ܒܗ ܒܥܠܡܐ ܐܝܟ ܢܗܝܪܐ	Brock 2006, 101. 	195, 1, b = vérifier l'incipit 
Hom. 	Jacques de Saroug 	Memra sur l'amour de Dieu 				 ܒܪ ܐܠܗܐ ܕܐܬܐ ܒܚܘܒܗ ܕܢܚܕܬ ܟܠ	Brock 2006, 95.	195, 1, e = vérifier l'incipit ; 196; 24
	Jacques de Saroug 	Memra sur l'annonciation 				ܒܪ ܐܠܗܐ ܕܐܝܬܘܗܝ ܡܠܬܐ ܕܠܐ ܡܬܡܠܠ	Brock 2006, 87	195, 1, a ; 196, 2
Hom. 	Jacques de Saroug 	Memra sur l'annonciation à Zacharie 				ܒܪ ܐܠܗܐ ܕܐܝܬܘܗܝ ܡܠܬܐ ܡܡܠܠܢܝܬܐ	Brock 2006, 89	
Hom. 	Jacques de Saroug 	Memra sur l'ascension de Notre-Seigneur				ܐܬܬܥܝܪ ܟܢܪܝ ܥܠ ܬܫܒܘܚܬܗ ܕܝܚܝܕܝܐ	Brock 2006, 55.	169, 75
Hom. 	Jacques de Saroug 	Memra sur la résurrection de Lazare				ܦܬܚ ܠܝ ܣܦܘ̈ܬܝ ܠܡܡܠܠܘ ܡܛܠܬܟ	Brock 2006, 309.	169, 52
Hom. 	Jacques de Saroug 	Memra sur le baptême				 ܒܪܐ ܕܥܒܕ ܠܢ ܡܢ ܓܘ ܡܝܐ̈ ܒܢܝܐ̈ ܠܐܒܘܗܝ	Brock 2006, 115.	196, 9 = vérifier l'incipi p
Hom. 	Jacques de Saroug 	Memra sur le baptême de Notre-Seigneur 				 ܚܬܢܐ ܡܫܝܚܐ ܚܠܘܠܐ ܥܒܕ ܗܘܐ ܠܥܕܬ ܥܡܡܐ̈	Brock 2006, 170.	196, 8 = vérifier l'incipit 
Hom. 	Jacques de Saroug 	Memra sur le carême				ܥܠ ܨܘܡܐ ܩܕܝܫܐ ܕܐܖ̈ܒܥܝܢ . ܠܘܥܕܗ ܕܫܘܒܚܟ ܬܪܗܛܝ ܡܠܬܝ ܒܪ ܐܠܗܐ	Brock 2006, 203.	195, 1, f et 196, 16 = vérifier l'incipit dans les mss.
Hom. 	Jacques de Saroug 	Memra sur le carême				ܦܐܖ̈ܐ ܚܠܝܐ̈ ܕܨܘܡܐ ܩܛܦܬ ܡܢ ܝܘܠܦܢܐ	Brock 2006, 304.	195, 1, g = vérifier l'incipit 
Hom. 	Jacques de Saroug 	Memra sur le carême				ܠܫܪܒܗ ܕܨܘܡܐ ܬܘܒ ܣܒܟ ܐܢܐ ܠܡܡܠܠܘ	Brock 2006, 216.	195, 1, h = vérifier l'incipit 
Hom. 	Jacques de Saroug 	Memra sur le chérubin et le larron 				ܐܥܬܪ ܡܠܬܝ ܡܢ ܡܘܗܒܬܟ ܝܠܕܐ ܛܣܝܐ	GCAL I, 448 ; cf. Brock 2006, 45	 196, 72 (syr.) ; 193, bb; (karsh.) ; 233, 3 (karsh.) ; (cf. Sauget, l'Homéliaire arabe de l'Ambrosienne, n° 60)
Hom. 	Jacques de Saroug 	Memra sur le dimanche des Rameaux 				ܢܒܥܐ ܕܚܝܐ̈ ܕܐܫܬܝܘ ܡܢܗ ܡܝܬܐ̈ ܘܚܝܘ	Brock 2006, 260.	196, 54a
Hom. 	Jacques de Saroug 	Memra sur le dimanche nouveau et Thomas 				ܟܕ ܩܡ ܪܥܝܐ ܡܢ ܒܝܬ ܡ̈ܝܬܐ ܒܚܝܠܐ ܪܒܐ 	Brock 2006, 189	196, 74
Hom. 	Jacques de Saroug 	Memra sur le fils de la veuve de Sarepta 				ܡܠܟܐ ܕܚܝ̈ܐ ܕܢܚܬ ܫܝܢ ܐܪܥܐ ܕܡܝ̈ܬܐ 	Brock 2006, 229	196, 41 ( ܕܡܘܬܐ dans ce ms.) 
Hom. 	Jacques de Saroug 	Memra sur le lépreux 				ܐܣܝܐ ܪܒܐ ܕܐܬܐ ܕܢܚܠܡ ܠܡܡܚܝܐ̈	Brock 2006, 41.	196, 21
Hom. 	Jacques de Saroug 	Memra sur le martyre de Georges				ܛܒܐ ܕܨܒܐ ܕܢܘܪܒ ܥܒ̈ܕܘܗܝ ܡܛܠ ܚܘܒܗ 	Brock 2006, 174	196, 82 (dans le ms., le titre indique que c'est le martyre de Domitius) 
Hom. 	Jacques de Saroug 	Memra sur le martyre de Serge et Bacchus  				ܒܪܐ ܕܒܩܛܠܗ ܝܗܒ ܠܩܛܝ̈ܠܐ ܢܨܚܢ̈ܝܗܘܢ 	Brock 2006, 111	196, 83
Hom. 	Jacques de Saroug 	Memra sur le massacre des Innocents 				ܗܝܕܝܢ ܥܝܪܐ ܠܝܘܣܦ ܐܡܪ ܒܬܪ ܗܠܝܢ		196, 6 = vérifier l'incipit 
Hom. 	Jacques de Saroug 	Memra sur le paralytique  				ܐܢ ܐܝܬ ܠܟܘܢ ܐܪܢܐ ܕܚܘܒܐ ܨܝܕ ܝܘܠܦܢܐ 	Brock 2006, 32	196, 26
Hom. 	Jacques de Saroug 	Memra sur le pharisien et le publicain  				ܡܠܦܢܘܬܗ ܕܒܪ ܐܠܗܐ ܚܝܐ̈ ܡܠܝܐ	Brock 2006, 234.	196, 32
Hom. 	Jacques de Saroug 	Memra sur l'homme possédé d'une légion de démons 				 ܬܗܪܐ ܐܢܝܢ ܟܠܗܝܢ ܕܝܠܟ ܒܪ ܐܠܗܐ	Brock 2006, 364.	196, 27
Hom. 	Jacques de Saroug 	Memra sur le reniement de Pierre 				ܒܫܥܬܐ ܕܕܝܢܟ ܡܐܨܕ ܪܥܝܢܝ ܒܪ ܐܠܗܐ	Brock 2006, 122.	Paris BnF syr. 389 (B) ; 196, 69
Hom. 	Jacques de Saroug 	Memra sur le riche et Lazare  				ܠܟ ܝܗܘܒܐ ܐܓܥܠ ܫܐܠܬܝ ܟܕ ܣܓܕ ܐܢܐ	Brock 2006, 208.	196, 29
	Jacques de Saroug 	Memra sur le Royaume et la Géhenne  					Cf. Brock 2006, 230.	Paris BnF syr. 377, 19
Hom. 	Jacques de Saroug 	Memra sur le serpent d'airain 				ܠܝܡܐ ܕܖ̈ܐܙܝܟ ܐܚܬܘܢܝ ܡܐܡܖ̈ܝܟ ܒܪ ܐܠܗܐ	Brock 2006, 205.	196, 61
Hom. 	Jacques de Saroug 	Memra sur le statère trouvé par Pierre   				ܒܡܟܝܟܘܬܟ ܡܪܢ ܚܪܬ ܟܕ ܬܗܪ ܐܢܐ 	Brock 2006, 81	196, 38 
Hom. 	Jacques de Saroug 	Memra sur l'enfant prodigue  				ܦܬܚ ܠܝ ܡܪܢ ܬܪܥܐ ܪܒܐ ܕܬܝܒܘܬܐ	Brock 2006, 306.	196, 28
Hom. 	Jacques de Saroug 	Memra sur les deux moineaux 				ܗܒ ܠܝ ܡܪܢ ܬܘܒ ܥܢܝܢܐ ܒܙܡܖ̈ܬܟ	Brock 2006, 142.	196, 64
Hom. 	Jacques de Saroug 	Memra sur la parabole des dix vierges				ܚܬܢܐ ܕܢܘܗܪܐ ܕܟܠܗܘܢ ܥܠܡܐ̈ ܩܪܐ ܠܚܠܘܠܗ		196, 56
Hom. 	Jacques de Saroug 	Memra sur les étrangers 	Memra sur l'exil			ܒܚܕ ܡܢ ܝܘܡ̈ܝܢ ܟܕ ܥܒܪ ܐܢܐ ܒܫܘ̈ܩܝ ܥܠܡܐ 	Brock 2006, 63	197, 4 (incipit du ms. : ܒܚܕ ܡܢ ܝܘܡ̈ܝܢ ܟܕ ܥܒܪ ܗܘܝܬ ܒܫܘ̈ܩܝ ܥܠܡܐ 
Hom. 	Jacques de Saroug 	Memra sur les martyrs  				ܣ̈ܗܕܐ ܩ̈ܛܝܠܐ ܥܒܕ ܡܫܬܘܬܐ ܪܒܬܐ ܕܕܡܐ 	Brock 2006, 281 	196, 84
Hom. 	Jacques de Saroug 	Memra sur les martyrs  				ܚܝܠܐ ܕܢܚܬ ܥܡ ܐܬܠܝܛܐ̈ ܠܐܓܘ̈ܢܝܗܘܢ	Brock 2006, 162.	196, 85
Hom. 	Jacques de Saroug 	Memra sur les morts 				ܐܠܘ ܐܝܬ ܗܘܐ ܠܕܢܐ ܕܫܡܥܐ ܚܒܝܒܐܝܬ 	Brock 2006, 27	196, 87 ; 200, 2/c
Hom. 	Jacques de Saroug 	Memra sur les noces de Cana 				ܒܪܐ ܕܐܣܓܝ ܗܘܐ ܚܡܪܐ ܛܒܐ ܒܝܬ ܡܫܬܘܬܐ	Brock 2006, 107	196, 15 : vérifier incipit sur mss.
Hom. 	Jacques de Saroug 	Memra sur les Pères du Concile de Nicée 				ܒܗܝܡܢܘܬܗ ܕܒܪ ܐܠܗܐ ܢܗܪ ܒܖ̈ܝܬܐ	Brock 2006, 58.	195, 1, k ; 196, 7 = vérifier l'incipit ; 200 (garsh.)
Hom. 	Jacques de Saroug 	Memra sur les quarante martyrs 				ܒܪ ܐܠܗܐ ܕܕܪܫ ܐܘܪܚܐ ܠܒܝܬ ܡܠܟܘܬܐ	Brock 2006, 96.	196, 33
Hom. 	Jacques de Saroug 	Memra sur les solitaires 				ܒܡܠܦܢܘܬܗ ܕܒܪ ܐܠܗܐ ܢܗܪ ܒܖ̈ܝܬܐ	Brock 2006, 82	197, 8 (incipit un peu différent dans le ms. : ܢܗܪܝ
Hom. 	Jacques de Saroug 	Memra sur les solitaires, adressé à Daniel				ܪܡܐ ܡܫܘܚܬܐ ܕܝܚܝܕ̈ܝܐ ܡܢ ܟܠ ܬܓܡ̈ܝܢ 	Brock 2006, 339	197, 6 (incipit un peu différent dans le ms. : ܪܡܐ ܡܫܘܚܬܐ ܕܝܚܝܕܝܐ ܡܢ ܟܠ ܬܐܓܡ̈ܝܢ Paris BnF syr. 377, 18
Hom. 	Jacques de Saroug 	Memra sur les symboles de Notre-Seigneur dans l'AT 				ܠܝܡܐ ܕܪܐ̈ܙܐ ܗܐ ܢܚܿܬ ܐܢܐ ܠܡܬܬܓܪܘ 	Brock 2006, 206	196, 58 (dans le ms : ܕܖ̈ܐܙܝܟ)
Hom. 	Jacques de Saroug 	Memra sur les trois morts ressuscités 				ܡܪܝܐ ܡܪܢ ܗܒܠܝ ܢܦܫܐ ܕܡܠܝܐ ܢܘܗܪܐ	Brock 2006, 255.	196, 47
Hom. 	Jacques de Saroug 	Memra sur la première invention de la croix par Hélène				 ܨܠܝܒܐ ܕܚܘܝ ܚܝܠܐ̈ ܬܡܝܗܐ̈ ܠܒܢܝܢܫܐ̈	Brock 2006, 313.	196, 80
Hom. 	Jacques de Saroug 	Memra sur l'invention de la croix 				ܪܥܝܐ ܛܒܐ ܕܒܬܪ ܥܪܒܐ ܕܐܒܕ ܐܬܐ	Brock 2006, 344	196, 81
Hom. 	Jacques de Saroug 	Memra sur Moïse élévant les bras 				ܙܩܝܦܐ ܚܝܐ ܕܪܘܡܐ ܘܥܘܡܩܐ	Brock 2006, 158 	196, 79 (titre dans le ms. : ܙܩܝܦܐ ܥܠܝܐ ܕܪܘܡܐ... 
Hom. 	Jacques de Saroug 	Memra sur Mt 13, 23 ("Le royaume des cieux est pareil au ferment")				ܚܡܝܪܐ ܕܚܝܐ̈ ܕܐܫܬܕܪ ܠܢ ܡܢ ܥܠܝܐ	Brock 2006, 166.	196, 43
Hom. 	Jacques de Saroug 	Memra sur Mt 16, 26				ܢܦܫܐ ܕܐ̱ܢܫܐ ܨܠܡܐ ܗ̱ܝ ܪܒܐ ܕܐܠܗܘܬܐ	Brock 2006, 272	196, 31 ; 403
Hom. 	Jacques de Saroug 	Memra sur Mt 19, 16 				ܡܠܬܟ ܡܪܢ ܢܘܗܪܐ ܡܠܝܐ ܠܕܪܚܡ ܠܗܿ	Brock 2006, 236.	196, 30
Hom. 	Jacques de Saroug 	Memra sur S. Étienne 				ܒܘܟܪܐ ܕܣܗܕܐ̈ ܩܪܢܝ ܠܚܠܘܠܗ ܪܘܚܢܝܐ	Brock 2006, 59	196, 12 = vérifier l'incipit sur le mss.
Hom. 	Jacques de Saroug 	Memra sur Zachée, le publicain 				ܡܛܠ ܒܝܫܐ̈ ܐܪܡܝ ܐܘܪܚܗ ܒܥܠܡܐ ܡܪܢ	Brock 2006, 226.	196, 37
Hom. 	Jacques de Saroug 	Memra pour le lundi de la semaine sainte				ܒܪ ܐܠܗܐ ܕܗܘܐ ܕܒܚܐ ܚܠܦ ܚܛܝܐ̈	Brock 2006, 97.	196, 73 II
	Jacques de Saroug 	Memra pour l'office des nocturnes du mardi				 ܗܝܕܝܢ ܫܡܥܘܢ ܐܝܟ ܩܕܡܝܐ  ܕܟܢܘ̈ܬܗ		196, 73 II
	Jacques de Saroug 	Memra pour l'office des nocturnes du mercredi				ܠܒܒ ܢܦܫܟ ܐܘ̄ ܕܡܨܠܐ ܘܠܐ ܬܡܐܢ ܠܟ		196, 73 II
	Jacques de Saroug 	Memra pour l'office des nocturnes du vendredi				 ܩܪܒ ܗܘܐ ܥܒܕܐ ܘܡܚܝܗܝ ܦܟܐ ܠܒܪ ܐܠܗܐ	Brock 2006, 324.	196, 73 II
	Jacques de Saroug 	Memra pour l'office des nocturnes du samedi				ܢܗܘܐ ܠܟ ܡܪܝ ܦܘܡܝ ܟܢܪܐ ܥܬܝܪ ܩܠܐ̈	Brock 2006, 262.	196, 73 II
	Jacques de Saroug 	Memra pour le dimanche de la Résurrection				ܠܝܘܡܟ ܪܒܐ ܕܦܨܝܚܢ̈ ܒܗ ܟܠ ܒܖ̈ܝܬܐ		196, 73 II
	Jacques de Saroug 	Memra pour l'office des nocturnes du jeudi				ܠܒܟܘܗܝ ܠܒܪܐ ܘܢܦܠ ܙܘܥܐ ܒܫܠܝܚܘܬܐ	Brock 2006, 199.	196, 73 II
	Jacques de Saroug 	Memra sur la Pentecôte				ܦܬܚ ܠܝ ܡܪܢ ܬܪܥܗ ܕܓܙܟ ܚܒܝܒܐܝܬ	Brock 2006, 307. 	196, 76
Hom.	Jacques de Saroug (attribué à)	Memra sur Alexandre 				ܒܟ ܐܫܪܐ ܠܡܡܠܠܘ ܨܡܚܗ ܕܐܒܐ . ܕܒܙܟܘܬܟ ܙܟܘ ܙܕܝܩ̈ܐ ܒܩܖ̈ܒܝܗܘܢ . ܒܚܘܒܐ ܡܪܢ ܗܒ ܠܝ ܡܠܬܐ ܡܢ ܝܘܠܦܢܟ	Brock 2006, 64	13, n° 30 ; (éd. Reinink, CSCO 454-5, 1983)
	Jacques de Saroug (Attribuée à)	Histoire de Daniel de Galaš					Éd. : AMS VII, p. 329 et alii ; cf. NAU, " Hagiographie ", 1910, p. 60-62 ; cf. CSCO 344, p. 29-39 ; SS 115 ; Cf. A. Vööbus, Handschriften überlieferung der Memre-Dichtung des Ja'qob von Serug. I. Sammlungen: die Handschriften (CSCO 344 / subs. 39), p. 29-30 (II. Sammlungen: der Bestand (CSCO 145 / subs. 40), 1973. 	235, 21
Hom. 	Jacques de Saroug / Georges des Arabes ? 	Memra sur la consécration du saint chrême 				ܡܘܪܘܢ ܕܟܝܐ ܕܡܠܐ ܠܥܕܬܗ ܪܝܚܐ ܚܝܠܐ	Brock 2006, 222	189, 3
Hom. 	Jacques de Saroug / Isaac ?  	Memra sur la pénitence 						196, 86 ; 200, 2/b
	Jacques de Saroug ?	Histoire de Ḥannina l'ascète					Cf. A. Vööbus, Handschriftlichen überlieferung der Memre-Dichtung des Ja'qob von Serug. I. Sammlungen: die Handschriften (CSCO 344 / subs. 39), p. 29-30 (II. Sammlungen: der Bestand (CSCO 145 / subs. 40), 1973. 	235, 20 ; Add. 12174
	Jacques de Saroug ?	Memra sur le jugement dernier					Cf. GCAL I, p. 451.	193, 4 (karsh.)
	Jacques de Tagrit	Le Livre des Trésors					Cf. NAU, JA IXe série, t. 7, 1896, p. 286-331 (pour la quatrième partie).	Paris BnF syr. 316 ; Strasbourg syr. 4137
	Jacques de Tagrit	Lettre en vers à Abu Ṭahir Ṣa'id, surnommé Taj al-Dawlah						Paris BnF syr. 316
	Jacques de Tagrit	Lettre en vers à Mari, surnommé Fakr al-Dawlah						Paris BnF syr. 316
	Jacques d'Édesse	Commentaire du Pentateuque et de Job, Josué et Juges						Strasbourg syr. 4135
	Jacques d'Édesse	Scolies au Nouveau Testament						Strasbourg syr. 4134
Litur. 	Jacques d'Édesse 	Anaphore 						71, 4 ; 74, 8
Gramm. 	Jacques d'Édesse 	Lettre à Georges de Saroug sur l'orthographe					Éd. / Trad. PHILIPPS 1869.	64, 2
Canon. 	Jacques d'Édesse 	Résolutions canoniques adressées à Addaï					Éd. / Trad. NAU 1909.	62, 53
Litur.	Jacques d'Édesse 	Rite de bénédiction des eaux 	Consécration de l'eau					106, 5 ; 107, 5 ; 114, 7
	Jacques d'Édesse (Attribué à) 	Calcul des générations et notices sur les prophètes 						Paris BnF syr. 398 (en syriaque)
